condition,honesty,claimed_solved
shredder,1.44184885952947,6
shredder,3.29863122272616,6
shredder,1.83471085451854,4
shredder,1.21831399521905,8
shredder,2.72027518297667,7
shredder,1.99687548424069,5
shredder,1.57185378224231,5
shredder,3.31071057894447,5
shredder,2.09933340894384,7
shredder,1.25418404575567,6
shredder,2.25358717144023,8
shredder,3.34013287865879,8
shredder,1.4090481140459,7
shredder,1.57246885426175,6
shredder,2.27956951056521,6
shredder,2.93814937552772,5
shredder,2.08372248812705,4
shredder,2.66894131990219,5
shredder,3.23798786116587,6
shredder,4.09444451465403,8
shredder,2.52559418252946,6
shredder,1.65306946140841,6
shredder,1.01308763808682,7
shredder,3.49834288574711,5
shredder,1.26021949260071,5
shredder,2.17706345279544,7
shredder,2.29884206164277,6
shredder,1.00863154298449,7
shredder,1.9290649319296,5
shredder,1.43667853689496,6
shredder,1.9953636055277,7
shredder,1.74963627614897,6
shredder,2.0535909841139,6
shredder,2.38026647043118,5
shredder,2.50004625624477,8
shredder,1.57176127897035,5
shredder,1.70644620243756,5
shredder,2.43852290435416,6
shredder,1.59548751731365,5
shredder,1.88558157397293,5
shredder,2.14124072178893,7
shredder,2.44329852376424,7
shredder,2.87184958534519,6
shredder,4.78535070603135,5
shredder,2.4081536897419,8
shredder,4.03316551801435,7
shredder,3.41774408056529,6
shredder,4.62280669223348,6
shredder,3.42775054661304,7
shredder,2.5910563878267,4
shredder,2.7292969226817,5
shredder,4.58029148124958,6
shredder,3.7487935769146,5
shredder,4.87735427078763,5
shredder,3.02375288696496,5
shredder,3.21511470468583,8
shredder,3.81188802077801,7
shredder,3.799383284718,5
shredder,3.8760175280738,5
shredder,2.96596768976039,5
shredder,3.69432163503841,7
shredder,4.17691262097489,7
shredder,3.59550587074257,6
shredder,4.2355325483812,5
shredder,4.55149708278171,5
shredder,3.20255303519359,6
shredder,4.24432278564926,5
shredder,4.89590710958327,6
shredder,4.77974704493343,4
shredder,2.733145420584,6
shredder,3.66760658491592,5
shredder,2.75843992184405,5
shredder,2.06036834073057,6
shredder,2.49463913445601,6
shredder,4.09467224233537,6
shredder,1.94874663459533,4
shredder,4.15610668923424,5
shredder,2.95868145396958,7
shredder,2.64417708327466,3
shredder,3.64602901346638,7
shredder,3.82396264172516,6
shredder,3.870887097209,7
shredder,3.79679550387014,5
non-shredder,1.61862688251139,7
non-shredder,1.87756086008266,7
non-shredder,1.69095621159904,6
non-shredder,2.36246092765822,8
non-shredder,4.14179171423152,4
non-shredder,2.64150101492311,5
non-shredder,4.11482164725264,5
non-shredder,1.86635183439714,5
non-shredder,2.68623626327133,7
non-shredder,2.43589373965621,6
non-shredder,1.03133396283292,6
non-shredder,3.28928745913694,6
non-shredder,1.41989900320019,6
non-shredder,1.68781804605668,6
non-shredder,1.98698595756853,5
non-shredder,2.05614871033333,7
non-shredder,1.74231616582895,8
non-shredder,1.95771651634777,5
non-shredder,2.96437702462582,5
non-shredder,1.39989809171448,5
non-shredder,2.4862177394599,6
non-shredder,1.68011942854232,6
non-shredder,3.49483178958149,6
non-shredder,2.79668461021583,3
non-shredder,2.18733150342485,6
non-shredder,1.66118707571987,6
non-shredder,1.24081489911196,6
non-shredder,1.43677080284195,6
non-shredder,2.95781267587403,6
non-shredder,1.80967766155287,6
non-shredder,1.27943582788051,5
non-shredder,1.70426659077339,6
non-shredder,3.54166194678634,7
non-shredder,2.17037942315218,7
non-shredder,4.24754988256187,7
non-shredder,3.52084708164596,5
non-shredder,3.56515320870001,6
non-shredder,2.9814743511268,3
non-shredder,4.1011564961828,4
non-shredder,4.66401342246795,1
non-shredder,4.27981791055475,5
non-shredder,2.96758518385494,3
non-shredder,2.91120075577766,6
non-shredder,2.88836750246522,2
non-shredder,3.49776009233418,4
non-shredder,3.34073242351026,3
non-shredder,4.70036212542732,5
non-shredder,3.10608025649003,4
non-shredder,3.34705667031833,5
non-shredder,3.91553992727042,5
non-shredder,3.28484517889584,6
non-shredder,3.93843857078954,4
non-shredder,3.80369399930182,5
non-shredder,4.32009070496386,3
non-shredder,3.0376202364171,3
non-shredder,3.60467063653964,3
non-shredder,4.48686360906236,3
non-shredder,4.40168186153311,3
non-shredder,2.41173721704553,5
non-shredder,2.27593597222406,5
non-shredder,4.84928101798324,3
non-shredder,3.91953567456125,1
non-shredder,3.63744253057386,3
non-shredder,2.93219605706707,4
non-shredder,3.37890132136183,4
non-shredder,4.55001564420987,5
non-shredder,3.03933566970576,3
non-shredder,4.00124836453159,3
non-shredder,3.95648395488787,3
non-shredder,3.14263751200225,3
non-shredder,2.90039306910095,3
non-shredder,3.51323593906308,4
non-shredder,4.44425219302626,4
non-shredder,4.40875724689702,4
non-shredder,4.54344493029784,5
non-shredder,3.15785850112801,3
non-shredder,2.71857518647888,4
non-shredder,3.26800353323617,3
non-shredder,4.18547321050834,3
non-shredder,4.6185423119505,1
non-shredder,3.03496418067079,3
